"% Correct","٪ ﺺﻴﺣ:"
"+ Add User to Group",""
"+ Create a New Form",""
"+ Create a New Group",""
"+ Create a New User",""
"About",""
"Accuracy","ﺎﻟﺪﻗﺓ:"
"Accuracy Level",""
"Accuracy Level:","ﻢﺴﺗﻭﻯ ﺎﻟﺪﻗﺓ:"
"Activity",""
"Add Class","ﺈﺿﺎﻓﺓ ﺺﻓ"
"Add New User",""
"Add Student","ﺈﺿﺎﻓﺓ ﻁﺎﻠﺑ"
"Add User to Group",""
"An update is available. Be sure to first sync your data before installing the update. If you have not done this, click `Cancel`. If you are ready to install the update, click `Yes`","ﺎﻠﺘﺣﺪﻴﺛ ﺄﺼﺒﺣ ﺝﺎﻫﺯًﺍ. ﺕﺄﻛﺩ ﺃﻭﻻ ﻢﻧ ﺖﺤﻤﻴﻟ ﺞﻤﻴﻋ ﺐﻳﺎﻨﺘﻛ ﻖﺒﻟ ﻊﻤﻠﻳﺓ ﺎﻠﺘﺣﺪﻴﺛ.. ﺇﺫﺍ ﻞﻣ ﺖﻘﻣ ﺐﺘﺤﻤﻴﻟ ﺎﻠﺒﻳﺎﻧﺎﺗ ﺎﻀﻐﻃ ﻊﻟﻯ ﺯﺭ`ﺈﻠﻏﺍﺀ`. ﺇﺫﺍ ﻖﻤﺗ ﺐﺘﺤﻤﻴﻟ ﺐﻳﺎﻨﺘﻛ ﻮﺟﺎﻫﺯ ﻞﻠﺘﺣﺪﻴﺛ ﺎﻀﻐﻃ ﺯﺭ `ﻡﻭﺎﻔﻗ ﺃﻭ ﻦﻌﻣ`"
"Applying Updates...","ﺝﺍﺮﻳ ﺎﻠﺘﺣﺪﻴﺛ..."
"April",""
"Are you sure you want to start a form response?","ﻪﻟ ﺄﻨﺗ ﻢﺗﺄﻛﺩ ﻢﻧ ﺎﻠﺑﺩﺀ ﺐﺘﻌﺒﺋﺓ ﺲﺠﻟ ﺖﻘﻴﻴﻣ ﺝﺪﻳﺩ؟"
"Are you sure you would like to exit the form?","ﻪﻟ ﺄﻨﺗ ﻢﺗﺄﻛﺩ ﻢﻧ ﺮﻐﺒﺘﻛ ﻒﻳ ﺎﻠﺧﺭﻮﺟ ﻢﻧ ﺲﺠﻟ ﺎﻠﺘﻘﻴﻴﻣ؟"
"August",""
"Average",""
"Average Correct"," ﻢﺗﻮﺴﻃ ﺍﻺﺟﺎﺑﺎﺗ ﺎﻠﺼﺤﻴﺣﺓ "
"Average Correct (%)","ﻢﺗﻮﺴﻃ ﺍﻺﺟﺎﺑﺎﺗ ﺎﻠﺼﺤﻴﺣﺓ (٪)"
"Case",""
"Cases",""
"Check for Update","ﺖﺤﻘﻗ ﻢﻧ ﺎﻠﺘﺣﺪﻴﺛ"
"Checking","ﺎﻠﺘﺤﻘﻗ ﻢﻧ ﻮﺟﻭﺩ ﺎﻠﺘﺣﺪﻴﺛ"
"Checking For Updates...","ﺝﺍﺮﻳ ﺎﻠﺒﺤﺛ ﻊﻧ ﺖﺣﺪﻴﺛﺎﺗ..."
"Choose a task report from one of the following selections:",""
"Choose which case type",""
"Class Grouping",""
"Class Size","ﻉﺩﺩ ﺎﻠﻄﻠﺑﺓ ﻒﻳ ﺎﻠﺼﻓ..."
"Class grouping","ﺖﺼﻨﻴﻓ ﺎﻠﺼﻓ"
"Click a Picture","ﺎﻀﻐﻃ ﻊﻟﻯ ﺎﻠﺻﻭﺭﺓ"
"Click the play button to get started.","ﺎﻀﻐﻃ ﻊﻟﻯ ﺯﺭ ﺎﺑﺩﺃ ."
"Click to Download",""
"Close",""
"Complete",""
"Confirm New Password","ﺕﺄﻛﺩ ﻢﻧ ﻚﻠﻣﺓ ﺎﻠﺳﺭ ﺎﻠﺟﺪﻳﺩﺓ"
"Confirm Password","ﺕﺄﻛﺩ ﻢﻧ ﻚﻠﻣﺓ ﺎﻠﺳﺭ"
"Continue",""
"Correct","ﺺﺤﻴﺣ"
"Could Not Contact Server.",""
"Could Not Create User","ﻞﻣ ﻲﺘﻤﻜﻧ ﻢﻧ ﺈﻨﺷﺍﺀ ﻢﺴﺘﺧﺪﻣ ﺝﺪﻳﺩ"
"Could Not Generate APK",""
"Could Not Generate PWA",""
"Could Not Load List Of Forms","ﻞﻣ ﻲﺘﻤﻜﻧ ﻢﻧ ﺖﻧﺰﻴﻟ ﻕﺎﺌﻣﺓ ﺎﻠﺴﺟﻼﺗ"
"Create",""
"Create Form","ﺈﻨﺷﺍﺀ ﺲﺠﻟ"
"Create New Case",""
"Current",""
"Curriculum","ﻢﻨﻫﺎﺟ ﺩﺭﺎﺴﻳ"
"DATA QUERIES",""
"Date and Time","ﺎﻠﺗﺍﺮﻴﺧ ﻭﺎﻟﻮﻘﺗ"
"Day",""
"December",""
"Differences",""
"Distance from reference",""
"Docs Not Uploaded","ﻞﻣ ﻲﺘﻣ ﺖﺤﻤﻴﻟ ﺎﻠﻤﻠﻓﺎﺗ"
"Docs Uploaded","ﺖﺤﻤﻴﻟ ﺎﻠﻤﻠﻓﺎﺗ"
"Download CSV","ﺖﻧﺰﻴﻟ ﻢﻠﻓ CSV"
"Download your APK",""
"EXPORT DATA FOR ALL USERS","ﺈﺻﺩﺍﺭ ﺎﻠﺒﻳﺎﻧﺎﺗ ﻞﺠﻤﻴﻋ ﺎﻠﻤﺴﺘﺧﺪﻤﻴﻧ"
"Edit Item","ﺖﻋﺪﻴﻟ ﺎﻠﻔﻗﺭﺓ"
"Email",""
"Enter your response to above question here","ﺄﺠﺑ ﻊﻧ ﺎﻠﺳﺅﺎﻟ ﺄﻋﻼﻫ ﻪﻧﺍ"
"Error Downloading File",""
"Event",""
"Export Data","ﺈﺻﺩﺍﺭ ﺎﻠﺒﻳﺎﻧﺎﺗ"
"Failed to download application configuration file",""
"February",""
"Feedback",""
"File Stored At","ﺖﻣ ﺢﻔﻇ ﺎﻠﻤﻠﻓ ﻒﻳ"
"Filter","ﺖﺼﻔﻳﺓ"
"Find Case",""
"First Name",""
"Form",""
"Form Id",""
"Form Name","ﺄﻨﺸﺋ ﺎﺴﻣ"
"Form Title","ﺄﻨﺸﺋ ﻊﻧﻭﺎﻧ"
"Forms",""
"Generate APK/PWA",""
"Generating CSV",""
"Group",""
"Group Created Succesfully",""
"Group Details",""
"Group Name",""
"Grouping Report",""
"Help",""
"Home",""
"ISSUES",""
"Incomplete",""
"Item Listing","ﻕﺎﺌﻣﺓ ﺎﻠﻔﻗﺭﺎﺗ"
"Item Not Found","ﺎﻠﻔﻗﺭﺓ ﻎﻳﺭ ﻡﻮﺟﻭﺩﺓ"
"Item Title","ﻊﻧﻭﺎﻧ ﺎﻠﻔﻗﺭﺓ ﺃﻭ ﺎﻠﺒﻧﺩ"
"January",""
"July",""
"June",""
"LAST ATTEMPTED","ﺂﺧﺭ ﻢﺣﺍﻮﻟﺓ"
"LOGIN","ﺖﺴﺠﻴﻟ ﺎﻟﺪﺧﻮﻟ"
"Last Name",""
"Last Successful Sync Timestamp","ﺂﺧﺭ ﻢﺣﺍﻮﻟﺓ ﻥﺎﺠﺣﺓ ﻞﺘﻧﺰﻴﻟ ﻮﺗﺯﺎﻤﻧ ﺎﻠﺒﻳﺎﻧﺎﺗ"
"Last attempted cannot be before an item marked.",""
"Latitude","ﺦﻃ ﺎﻠﻋﺮﺿ:"
"Loading","ﺝﺍﺭٍ ﺎﻠﺘﺤﻤﻴﻟ..."
"Login",""
"Login Unsuccesful","ﺖﺴﺠﻴﻟ ﺎﻟﺪﺧﻮﻟ ﻎﻳﺭ ﻥﺎﺠﺣ"
"Logout","ﺎﻠﺧﺭﻮﺟ"
"Longitude","ﺦﻃ ﺎﻠﻃﻮﻟ"
"MARK",""
"Manage Groups",""
"Manage Profile","ﺇﺩﺍﺭﺓ ﺎﻠﻤﻠﻓ ﺎﻠﺸﺨﺼﻳ"
"Manage Users",""
"March",""
"May",""
"Meters","ﻢﺗﺭ"
"Month",""
"My Forms","ﺲﺟﻼﺘﻳ"
"Name",""
"New Case",""
"New Form","ﺲﺠﻟ ﺝﺪﻳﺩ"
"New Group",""
"New Item","ﻒﻗﺭﺓ ﺝﺪﻳﺩﺓ"
"New Password","ﻚﻠﻣﺓ ﺎﻠﺳﺭ ﺎﻠﺟﺪﻳﺩﺓ"
"New comment by you",""
"Next","ﺎﻠﺗﺎﻟﻯ"
"No Data for","ﻻ ﺐﻳﺎﻧﺎﺗ ﻞـ"
"No Forms Currently Defined","ﻻ ﻱﻮﺟﺩ ﺲﺟﻼﺗ ﻢﺣﺩﺩﺓ ﺡﺎﻠﻳﺍً"
"No Update","ﻻ ﻱﻮﺟﺩ ﺖﺣﺪﻴﺛﺎﺗ"
"November",""
"Number of responses not uploaded","ﻢﺤﻤﻟﺓ"
"Number of responses uploaded","ﺖﺤﻤﻴﻠﻫﺍ"
"Observations","ﻡﻼﺤﻇﺎﺗ"
"October",""
"Online Sync",""
"Online Sync is used when there is a reliable Internet connection. If you have no Internet connection, use the P2P tab above to transfer records between nearby devices.",""
"Open","ﻒﺘﺣ"
"Open a Case",""
"Opened",""
"Participant ID",""
"Password","ﻚﻠﻣﺓ ﺱﺭ"
"Password Reset Unsuccesful","ﻊﻤﻠﻳﺓ ﺖﻐﻴﻳﺭ ﻚﻠﻣﺓ ﺎﻠﺳﺭ ﻎﻳﺭ ﻥﺎﺠﺣﺓ"
"Passwords do not match",""
"Percentage Complete","ﺎﻠﻨﺴﺑﺓ ﺎﻠﻤﺋﻮﻳﺓ ﻢﻜﺘﻤﻟﺓ"
"Percentage uploaded:","ﺎﻠﻨﺴﺑﺓ ﺎﻠﻤﺋﻮﻳﺓ ﺎﻠﺘﻳ ﺖﻣ ﺖﺤﻤﻴﻠﻫﺍ:"
"Percentile",""
"Permission Denied.",""
"Permission Denied. Login to Continue",""
"Pick a",""
"Please enter a valid email address",""
"Press the Start button below to transfer records to the server.",""
"Prev","ﺱﺎﺒﻗ"
"Progress",""
"Projects",""
"Propose",""
"Proposed",""
"RECOVER ACCOUNT","ﺎﺴﺘﻋﺍﺩﺓ ﺢﺳﺎﺑ"
"REGISTER","ﺖﺴﺠﻴﻟ"
"REPORTS",""
"RESET","ﺈﻋﺍﺩﺓ ﺖﻌﻴﻴﻧ"
"RESET PASSWORD","ﺈﻋﺍﺩﺓ ﺖﻌﻴﻴﻧ ﻚﻠﻣﺓ ﺎﻠﺳﺭ"
"REVIEW",""
"Ready",""
"Rebase issue on current response",""
"Release APK to Production",""
"Release APK to QA",""
"Release PWA to Production",""
"Release PWA to QA",""
"Reports","ﺖﻗﺍﺮﻳﺭ"
"Response","ﺎﺴﺘﺟﺎﺑﺓ"
"SCHEDULE",""
"SCHEDULE VIEW",""
"SEARCH",""
"SEARCH VIEW",""
"START","ﺎﺑﺩﺃ"
"STOP","ﺕﻮﻘﻓ"
"SYNC DATA FOR ALL USERS","ﺕﺯﺎﻤﻧ ﺎﻠﺒﻳﺎﻧﺎﺗ ﻞﺠﻤﻴﻋ ﺎﻠﻤﺴﺘﺧﺪﻤﻴﻧ"
"Save","ﺢﻔﻇ"
"Save before switching or your changes will be deleted.","ﺎﺤﻔﻇ ﻖﺒﻟ ﺍﻼﻨﺘﻗﺎﻟ ﺃﻮﺴﻴﺘﻣ ﺡﺬﻓ ﺎﻠﺘﻋﺪﻳﻼﺗ ."
"Scan Code",""
"School","ﻡﺩﺮﺳﺓ"
"Score",""
"Screening ID",""
"Search cases",""
"Searching",""
"Searching...","ﺐﺤﺛ.."
"Select Form Name","ﺎﺨﺗﺍﺭ ﺎﺴﻣ ﺎﻠﺴﺠﻟ"
"Select Report","ﺎﺨﺗﺭ ﺎﻠﺘﻗﺮﻳﺭ"
"Select one or more","ﺎﺨﺗﺭ ﻭﺎﺣﺩ ﺃﻭ ﺎﻜﺛﺭ"
"Select only one","ﺎﺨﺗﺭ ﻭﺎﺣﺩًﺍ ﻒﻘﻃ"
"Select the appropriate case type from the options listed below",""
"Select your Username","ﺎﺨﺗﺭ ﺎﺴﻣ ﺎﻠﻤﺴﺘﺧﺪﻣ ﺎﻠﺧﺎﺻ ﺐﻛ"
"September",""
"Settings",""
"Start",""
"Start Time",""
"Status","ﺎﻠﺣﺎﻟﺓ"
"Status.Concerning","ﺐﺨﺻﻮﺻ"
"Status.Good","ﺞﻳﺩ"
"Status.Great","ﻊﻈﻴﻣ"
"Status.Poor","ﻒﻘﻳﺭ"
"Student","ﻁﺎﻠﺑ "
"Student Dashboard","ﻝﻮﺣﺓ ﺎﻠﻃﻼﺑ"
"Student Grouping","ﺖﺠﻤﻴﻋ ﺎﻠﻃﻼﺑ"
"Student Subtest Report","ﺖﻗﺮﻳﺭ ﺎﻠﻃﺎﻠﺑ ﺎﻠﻓﺮﻌﻳ"
"Students Assessed","ﺖﻘﻴﻴﻣ ﺎﻠﻃﻼﺑ"
"Students to watch",""
"SubTask Report",""
"Submit",""
"Subtask","ﻑﺮﻌﻳﺓ"
"Subtest Name","ﺎﺴﻣ ﺍﻼﺨﺘﺑﺍﺭ ﺎﻠﻓﺮﻌﻳ"
"Subtest Report","ﺖﻗﺮﻳﺭ ﺎﻠﻃﺎﻠﺑ ﺎﻠﻓﺮﻌﻳ"
"Summary","ﻢﻠﺨﺻ"
"Support",""
"Switch Editor","ﺖﺸﻐﻴﻟ ﺎﻠﻤﺣﺭﺭ"
"Sync","ﺕﺯﺎﻤﻧ"
"Sync Successful","ﺖﻣ ﺎﻠﺗﺯﺎﻤﻧ ﺐﻨﺟﺎﺣ"
"Sync Unsuccessful. Please Retry","ﺎﻠﺗﺯﺎﻤﻧ ﻎﻳﺭ ﻥﺎﺠﺣ ﻱُﺮﺟﻯ ﺎﻠﻤﺣﺍﻮﻟﺓ ﻒﻴﻣﺍ ﺐﻋﺩ"
"Syncing Status By User","ﺡﺎﻟﺓ ﺎﻠﻣﺯﺎﻤﻧﺓ ﻢﻧ ﻖﺒﻟ ﺎﻠﻤﺴﺘﺧﺪﻣ"
"Syncing Status Summary","ﻢﻠﺨﺻ ﺡﺎﻟﺓ ﺎﻠﻣﺯﺎﻤﻧﺓ"
"Tangerine",""
"Tap any boxes that were incorrect during the test.","ﺎﻨﻗﺭ ﻊﻟﻯ ﺎﻠﻣﺮﺒﻋﺎﺗ ﻎﻳﺭ ﺎﻠﺼﺤﻴﺣﺓ ﺄﺜﻧﺍﺀ ﺍﻼﺨﺘﺑﺍﺭ"
"Tap items to mark them incorrect.","ﺎﻀﻐﻃ ﻊﻟﻯ ﺎﻠﻔﻗﺭﺎﺗ ﻞﺘﺴﺠﻴﻟ ﺍﻺﺟﺎﺑﺎﺗ ﻎﻳﺭ ﺺﺤﻴﺣﺓ ."
"Tap the item last attempted.","ﺎﻀﻐﻃ ﻊﻟﻯ ﺎﻠﻤﺣﺍﻮﻟﺓ ﺍﻸﺨﻳﺭﺓ ﻞﻠﻔﻗﺭﺓ ﺃﻭ ﺎﻠﻌﻨﺻﺭ."
"Task Report",""
"The app will now check for an application update and attempt to download. Please stay connected to the Internet during this process. Tap OK to proceed.",""
"The date cannot be in the future. Please enter a date that is on or before today.",""
"The date is missing. Please enter a valid date.",""
"The date is not valid. Please enter a valid date.",""
"The form is not yet complete. Are you sure you would like to exit the form?",""
"There is unsaved data. Are you sure you would like to exit the form?",""
"This Field is Required",""
"Tips","ﻦﺻﺎﺌﺣ"
"Today",""
"Total",""
"Total Docs Uploaded","ﻢﺠﻣﻮﻋ ﺎﻠﻤﻠﻓﺎﺗ ﺎﻠﺘﻳ ﺖﻣ ﺖﺤﻤﻴﻠﻫﺍ"
"Total Docs not Uploaded","ﻢﺠﻣﻮﻋ ﺎﻠﻤﻠﻓﺎﺗ ﻎﻳﺭ ﺎﻠﻤﺤﻤﻟﺓ"
"Total Percentage Complete","ﻢﺠﻣﻮﻋ ﺎﻠﻨﺴﺑ ﺎﻠﻤﺋﻮﻳﺓ ﺎﻠﻤﻜﺘﻤﻟﺓ"
"Total Updates Applied","ﻢﺠﻣﻮﻋ ﺎﻠﺘﺣﺪﻴﺛﺎﺗ ﺎﻠﺘﻳ ﺖﻣ ﺖﻄﺒﻴﻘﻫﺍ"
"Totals","ﺎﻠﻤﺟﺎﻤﻴﻋ"
"Try moving outside with a clear view of the sky",""
"Try standing away from trees or buildings","ﺡﺍﻮﻟ ﺎﻟﻮﻗﻮﻓ ﺐﻌﻳﺩﺍً ﻊﻧ ﺍﻸﺸﺟﺍﺭ ﺃﻭ ﺎﻠﺒﻧﺎﻳﺎﺗ"
"Try standing next to a window","ﺡﺍﻮﻟ ﺎﻟﻮﻗﻮﻓ ﺐﺟﺎﻨﺑ ﺎﻠﻧﺎﻓﺫﺓ"
"Unable to check for update. Make sure you are connected to the Internet and try again.",""
"Unassigned Category","ﻢﺨﺼﺻﺓ"
"Unknown",""
"Update App","ﺖﺣﺪﻴﺛ ﺎﻠﺘﻄﺒﻴﻗ"
"Update is Running. Please Wait ...","ﺎﻠﺘﺣﺪﻴﺛ ﺝﺍﺭ. ﺃﺮﺟﻭ ﺍﻼﻨﺘﻇﺍﺭ..."
"Updating...","ﺖﺣﺪﻴﺛ"
"User Added to Group Successfully",""
"User Created Succesfully",""
"User Removed from Group Successfully",""
"Username","ﺎﺴﻣ ﺎﻠﻤﺴﺘﺧﺪﻣ"
"Username Available","ﺎﺴﻣ ﺎﻠﻤﺴﺘﺧﺪﻣ ﻢﺗﺎﺣ"
"Username Unavailable","ﺎﺴﻣ ﺎﻠﻤﺴﺘﺧﺪﻣ ﻎﻳﺭ ﻢﺗﺎﺣ"
"View your PWA",""
"Visits","ﺎﻟﺰﻳﺍﺭﺎﺗ"
"Write Failed",""
"Year",""
"You cannot merge the proposed changes because the Form Response has been updated since the Issue was created. Propose a new change based on the current version of the Form Response.",""
"You do not have access to the resource.",""
"You have not started this event",""
"You have not started this form",""
"You may not mark an item incorrect that is beyond the last item attempted."," ﻻ ﻲﺟﻭﺯ ﻞﻛ ﻮﻀﻋ ﻉﻼﻣﺓ ﻊﻟﻯ ﻊﻨﺻﺭ ﻎﻳﺭ ﺺﺤﻴﺣ ﻲﺘﻋﺩﻯ ﺎﻠﺒﻧﺩ ﺍﻸﺨﻳﺭ."
"You may proceed.","ﺏﺈﻤﻛﺎﻨﻛ ﺎﻠﻤﺗﺎﺒﻋﺓ."
"Your APK is building...",""
"Your PWA is building...",""
"accept",""
"and",""
"back",""
"by",""
"cancel",""
"changes",""
"clear",""
"close",""
"closed",""
"comment",""
"continue",""
"events",""
"here",""
"latitude",""
"loading",""
"longitude",""
"manifest",""
"merged",""
"new case",""
"new issue",""
"next",""
"no, stop","لا"
"open",""
"open cases",""
"response",""
"review case",""
"review form",""
"revisions",""
"save",""
"scan",""
"searching",""
"start another",""
"start event",""
"start form",""
"submit","ﺢﻔﻇ"
"summary",""
"yes, continue","نعم"
"✓ Yay! You are up to date.","✓ ﻭﺍﻭ! ﺖﻣ ﺎﻠﺘﺣﺪﻴﺛ."
"✓ Yay, You are up to date.",""